ticker,cik,sic,sic_description,status
AACI,0002092897,6770,Blank Checks,ok
AACQ,,,,cik_not_found
AACT,,,,cik_not_found
AAM,,,,cik_not_found
ABCL,0001703057,2834,Pharmaceutical Preparations,ok
ABCM,,,,cik_not_found
ABNB,0001559720,7340,Services-To Dwellings & Other Buildings,ok
ABOS,0001576885,2836,"Biological Products, (No Diagnostic Substances)",ok
ABSI,0001672688,8731,Services-Commercial Physical & Biological Research,ok
ABST,,,,cik_not_found
ACAB,,,,cik_not_found
ACAC,,,,cik_not_found
ACAM,,,,cik_not_found
ACAQ,,,,cik_not_found
ACAX,,,,cik_not_found
ACCD,,,,cik_not_found
ACDC,0001881487,1389,"Oil & Gas Field Services, NEC",ok
ACDI,,,,cik_not_found
ACEV,,,,cik_not_found
ACI,0001646972,5411,Retail-Grocery Stores,ok
ACIC,0001401521,6331,"Fire, Marine & Casualty Insurance",ok
ACKIT,,,,cik_not_found
ACLX,0001786205,2836,"Biological Products, (No Diagnostic Substances)",ok
ACND,,,,cik_not_found
ACON,0001635077,8071,Services-Medical Laboratories,ok
ACRO,,,,cik_not_found
ACRV,0001781174,2834,Pharmaceutical Preparations,ok
ACT,0001823529,6411,"Insurance Agents, Brokers & Service",ok
ACTC,,,,cik_not_found
ACTU,0001652935,2834,Pharmaceutical Preparations,ok
ACXP,0001736243,2834,Pharmaceutical Preparations,ok
ADAL,,,,cik_not_found
ADCT,0001771910,2834,Pharmaceutical Preparations,ok
ADOC,,,,cik_not_found
ADPT,0001478320,2836,"Biological Products, (No Diagnostic Substances)",ok
ADRT,,,,cik_not_found
ADTX,0001726711,2834,Pharmaceutical Preparations,ok
AEAE,0001852016,3714,Motor Vehicle Parts & Accessories,ok
AEHA,,,,cik_not_found
AESI,0001984060,1311,Crude Petroleum & Natural Gas,ok
AFAC,,,,cik_not_found
AFAR,,,,cik_not_found
AFIB,,,,cik_not_found
AFJK,0001979005,6770,Blank Checks,ok
AFTR,,,,cik_not_found
AFYA,0001771007,8200,Services-Educational Services,ok
AGBA,,,,cik_not_found
AGC,,,,cik_not_found
AHAC,,,,cik_not_found
AHI,,,,cik_not_found
AHPA,,,,cik_not_found
AHR,0001632970,6798,Real Estate Investment Trusts,ok
AHRN,,,,cik_not_found
AI,0001577526,7372,Services-Prepackaged Software,ok
AIBAF,,,,cik_not_found
AIMAU,,,,cik_not_found
AIP,0001667011,3674,Semiconductors & Related Devices,ok
AIRS,0001870940,8011,Services-Offices & Clinics of  Doctors of  Medicine,ok
AITR,,,,cik_not_found
AIXI,0001935172,7372,Services-Prepackaged Software,ok
AJAX,,,,cik_not_found
AKA,0001865107,5961,Retail-Catalog & Mail-Order Houses,ok
AKAN,0001888014,2833,Medicinal Chemicals & Botanical Products,ok
AKRO,,,,cik_not_found
AKUS,,,,cik_not_found
ALAB,0001736297,3674,Semiconductors & Related Devices,ok
ALCC,,,,cik_not_found
ALCY,0001901336,6770,Blank Checks,ok
ALDF,0002031561,6770,Blank Checks,ok
ALEC,0001653087,2836,"Biological Products, (No Diagnostic Substances)",ok
ALF,0002010930,6770,Blank Checks,ok
ALGM,0000866291,3674,Semiconductors & Related Devices,ok
ALGS,0001799448,2836,"Biological Products, (No Diagnostic Substances)",ok
ALMS,0001847367,2834,Pharmaceutical Preparations,ok
ALOR,,,,cik_not_found
ALPA,,,,cik_not_found
ALRS,0000903419,6021,National Commercial Banks,ok
ALSA,,,,cik_not_found
ALTU,,,,cik_not_found
ALUS,,,,cik_not_found
ALVR,,,,cik_not_found
ALXO,0001810182,2834,Pharmaceutical Preparations,ok
AMAM,,,,cik_not_found
AMCI,0001937891,5700,"Retail-Home Furniture, Furnishings & Equipment Stores",ok
AMHC,,,,cik_not_found
AMK,,,,cik_not_found
AMLX,0001658551,2834,Pharmaceutical Preparations,ok
AMPL,0001866692,7372,Services-Prepackaged Software,ok
AMST,0001807166,7372,Services-Prepackaged Software,ok
AMTD,0001769731,6199,Finance Services,ok
AMTI,,,,cik_not_found
AMWL,0001393584,7389,"Services-Business Services, NEC",ok
AMZE,0001880343,5961,Retail-Catalog & Mail-Order Houses,ok
ANCN,,,,cik_not_found
ANL,0001944552,2834,Pharmaceutical Preparations,ok
ANNX,0001528115,2834,Pharmaceutical Preparations,ok
ANRO,0001999480,2834,Pharmaceutical Preparations,ok
ANSC,0001854149,6770,Blank Checks,ok
ANTX,0001880438,2834,Pharmaceutical Preparations,ok
ANVS,0001477845,2834,Pharmaceutical Preparations,ok
AOGO,,,,cik_not_found
AONE,,,,cik_not_found
APAC,0002043630,6770,Blank Checks,ok
APCA,,,,cik_not_found
APGE,0001974640,2836,"Biological Products, (No Diagnostic Substances)",ok
API,0001802883,7372,Services-Prepackaged Software,ok
APLT,,,,cik_not_found
APMI,,,,cik_not_found
APNC,,,,cik_not_found
APRE,0001781983,2834,Pharmaceutical Preparations,ok
APSG,,,,cik_not_found
APXI,,,,cik_not_found
APXT,0002079253,6770,Blank Checks,ok
AQU,,,,cik_not_found
ARBB,0001930179,7373,Services-Computer Integrated Systems Design,ok
ARBG,,,,cik_not_found
ARBK,0001841675,6199,Finance Services,ok
ARCK,,,,cik_not_found
ARDT,0001756655,8062,"Services-General Medical & Surgical Hospitals, NEC",ok
AREC,0001590715,1220,Silver Ores,ok
ARGU,,,,cik_not_found
ARHS,0001875444,5712,Retail-Furniture Stores,ok
ARIS,0001964504,1040,Gold and Silver Ores,ok
ARIZ,,,,cik_not_found
ARM,0001973239,3674,Semiconductors & Related Devices,ok
ARQT,0001787306,2834,Pharmaceutical Preparations,ok
ARRY,0001820721,3674,Semiconductors & Related Devices,ok
ARTE,,,,cik_not_found
ARTV,0001817241,2836,"Biological Products, (No Diagnostic Substances)",ok
ARYA,,,,cik_not_found
ARYB,,,,cik_not_found
ARYE,,,,cik_not_found
AS,0001988894,2300,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,ok
ASAN,0001477720,7372,Services-Prepackaged Software,ok
