underwriter,year,rank,source_column
A.G.P/Alliance Global Partners,2021,3.0,Rank2122
A.G.P/Alliance Global Partners,2022,3.0,Rank2122
A.G.P/Alliance Global Partners,2023,3.0,Rank23
A.G.P/Alliance Global Partners,2024,3.0,Rank24
AC Sunshine Securities LLC,2023,2.0,Rank23
AC Sunshine Securities LLC,2024,2.0,Rank24
AMTD Global Markets,2018,7.5,Rank1820
AMTD Global Markets,2019,7.5,Rank1820
AMTD Global Markets,2020,7.5,Rank1820
AMTD Global Markets,2021,7.5,Rank2122
AMTD Global Markets,2022,7.5,Rank2122
AMTD Global Markets,2023,7.5,Rank23
Absa Bank Ltd,2021,7.0,Rank2122
Absa Bank Ltd,2022,7.0,Rank2122
Aegis Capital,2018,3.0,Rank1820
Aegis Capital,2019,3.0,Rank1820
Aegis Capital,2020,3.0,Rank1820
Aegis Capital,2021,3.0,Rank2122
Aegis Capital,2022,3.0,Rank2122
Aegis Capital,2023,2.0,Rank23
Aegis Capital,2024,2.0,Rank24
"Alexander Capital, LP",2018,2.0,Rank1820
"Alexander Capital, LP",2019,2.0,Rank1820
"Alexander Capital, LP",2020,2.0,Rank1820
"Alexander Capital, LP",2021,2.0,Rank2122
"Alexander Capital, LP",2022,2.0,Rank2122
"Alexander Capital, LP",2023,2.0,Rank23
"Alexander Capital, LP",2024,2.0,Rank24
Allen & Co Inc,2018,8.0,Rank1820
Allen & Co Inc,2019,8.0,Rank1820
Allen & Co Inc,2020,8.0,Rank1820
Allen & Co Inc,2021,8.0,Rank2122
Allen & Co Inc,2022,8.0,Rank2122
Allen & Co Inc,2023,8.0,Rank23
Allen & Co Inc,2024,8.0,Rank24
Alliance Global (see A.G.P.),2018,3.0,Rank1820
Alliance Global (see A.G.P.),2019,3.0,Rank1820
Alliance Global (see A.G.P.),2020,3.0,Rank1820
Alliance Global (see A.G.P.),2021,3.0,Rank2122
Alliance Global (see A.G.P.),2022,3.0,Rank2122
Alliance Global (see A.G.P.),2023,3.0,Rank23
Alliance Global (see A.G.P.),2024,3.0,Rank24
American Trust Investment Services,2024,2.0,Rank24
Apollo,2024,8.0,Rank24
Axiom-Cap,2018,4.0,Rank1820
Axiom-Cap,2019,4.0,Rank1820
Axiom-Cap,2020,4.0,Rank1820
Axiom-Cap,2021,3.0,Rank2122
Axiom-Cap,2022,3.0,Rank2122
Axiom-Cap,2023,3.0,Rank23
Axiom-Cap,2024,3.0,Rank24
B-Riley,2018,5.0,Rank1820
B-Riley,2019,5.0,Rank1820
B-Riley,2020,5.0,Rank1820
B-Riley,2021,5.0,Rank2122
