group,n,median,mean,std,p25,p75,min,max,share_positive
All,709,0.0786,0.4028,2.2626,-0.0633,0.3375,-0.8425,49.5,0.6206
Listing year 2019,111,0.119,0.2207,0.3781,-0.0117,0.3658,-0.3477,2.3125,0.6757
Listing year 2020,143,0.2765,0.4863,1.2077,0.0048,0.6057,-0.4378,13.4,0.7622
Listing year 2021,144,0.1053,0.569,4.1838,-0.0502,0.3019,-0.468,49.5,0.6528
Listing year 2022,70,0.04,1.1435,3.2792,-0.2088,0.9394,-0.732,23.25,0.5429
Listing year 2023,92,0.0,0.1724,0.8466,-0.1253,0.1107,-0.8425,6.1967,0.4674
Listing year 2024,149,0.0172,0.0918,0.4122,-0.0975,0.1429,-0.6461,3.4,0.5436
Prices needing no split correction,486,0.0967,0.2561,1.1548,-0.0306,0.3406,-0.63,23.25,0.6605
Prices split-corrected,223,0.0175,0.7223,3.642,-0.161,0.3308,-0.8425,49.5,0.5336
With a recovered prospectus,666,0.0922,0.4283,2.3306,-0.0497,0.3576,-0.8425,49.5,0.6366
