role,feature
numeric,log_offer_price
numeric,log_offer_size
numeric,filed_shares_offered
numeric,vix_at_pricing
numeric,nasdaq_30d_return
numeric,nasdaq_30d_volatility
numeric,hot_market_dummy
numeric,max_underwriter_rank
numeric,lead_underwriter_rank
numeric,top_tier_underwriter
numeric,ipo_year
numeric,ipo_quarter
numeric,ipo_month
numeric,ipo_dayofweek
numeric,lm_negative_ratio
numeric,lm_positive_ratio
numeric,lm_uncertainty_ratio
numeric,lm_litigious_ratio
numeric,lm_constraining_ratio
numeric,lm_modal_strong_ratio
numeric,lm_modal_weak_ratio
numeric,rf_lm_negative_ratio
numeric,rf_lm_uncertainty_ratio
numeric,rf_lm_litigious_ratio
numeric,risk_concentration_ratio
numeric,gunning_fog
numeric,prospectus_uniqueness
numeric,log_prospectus_words
categorical,sector
dropped_constant,is_spac
