specification,n,estimate,ci_low,ci_high,p_value,kind
Baseline (all filings),474,-0.04691320387929091,-0.1362992523600017,0.04000386098278952,0.308090354514641,spearman
Excluding SPACs (SIC 6770),474,-0.04691320387929091,-0.1362992523600017,0.04000386098278952,0.308090354514641,spearman
SPACs only,0,,,,,spearman
Excluding split-adjusted prices,349,-0.06722844221643007,-0.1750951031090335,0.0400245018686172,0.2102628449996382,spearman
Listing year 2019,91,-0.06489116456160912,-0.26657403131910534,0.1367100065852171,0.5411270369330892,spearman
Listing year 2020,117,-0.016971631524524567,-0.19672997215459068,0.15818579072766664,0.8558822531698805,spearman
Listing year 2021,108,-0.16336903702015257,-0.353056093765014,0.027555079858676654,0.09114371907920985,spearman
Listing year 2022,42,0.038327526132404185,-0.25984482362958705,0.35201568543214545,0.8095681855257665,spearman
Listing year 2023,46,-0.13279467195344838,-0.4483454179832273,0.2040840209582137,0.37898060289238866,spearman
Listing year 2024,70,0.033996168225378584,-0.19330105221449764,0.26433804501672836,0.7799442347489598,spearman
OLS: litigious only,474,1.3331173186210246,-8.130983559931977,10.797218197174026,0.782485569770213,ols_beta
OLS: + deal and market controls,379,3.6184416364998992,-32.22738540829413,39.46426868129394,0.8431642059438673,ols_beta
OLS: + log document length,379,-1.117195126383137,-29.68739503651955,27.453004783753276,0.9389087651012734,ols_beta
OLS: + sector fixed effects,379,12.979725974959363,-37.78859881947205,63.74805076939078,0.6163036871510317,ols_beta
OLS: + sector and year fixed effects,379,13.541464513620358,-36.53598037497245,63.61890940221318,0.5961155727407087,ols_beta
