fold,n_train,n_test,train_end,test_end,model,r2,rmse,mae,spearman,params
1,119,118,2020-02-06,2020-12-09,Baseline: train mean,-0.03291610676379797,1.3205626623032958,0.4616673472899369,,
1,119,118,2020-02-06,2020-12-09,Baseline: train median,-0.071105995215341,1.3447535953517629,0.4803835791783954,,
1,119,118,2020-02-06,2020-12-09,Ridge,-0.02173833531615954,1.3133979471728767,0.4568032324220198,0.2207707309249324,{'alpha': 1000.0}
1,119,118,2020-02-06,2020-12-09,RandomForest,-0.02380693931424016,1.3147268228678175,0.4422802444654064,0.4022606297997156,"{'n_estimators': 300, 'max_depth': 5, 'min_samples_leaf': 10}"
1,119,118,2020-02-06,2020-12-09,LightGBM,-0.04512963171346929,1.3283470926899137,0.44274692662397686,0.32163758707952134,"{'n_estimators': 200, 'learning_rate': 0.03, 'num_leaves': 15, 'min_child_samples': 20}"
2,237,118,2020-12-09,2021-10-22,Baseline: train mean,-0.007987213732066234,4.612211945898211,0.8210021269310521,,
2,237,118,2020-12-09,2021-10-22,Baseline: train median,-0.014523112040691899,4.627140825875511,0.7819300831625023,,
2,237,118,2020-12-09,2021-10-22,Ridge,-0.011504457232981213,4.6202518027120325,0.8561676869505683,-0.07982966172514677,{'alpha': 1000.0}
2,237,118,2020-12-09,2021-10-22,RandomForest,-0.022845063146832878,4.646079869897816,0.8508823835893997,0.10945991360437247,"{'n_estimators': 300, 'max_depth': 3, 'min_samples_leaf': 10}"
2,237,118,2020-12-09,2021-10-22,LightGBM,-0.022966828422284813,4.646356409512442,0.8338411157756562,0.2537800212414344,"{'n_estimators': 200, 'learning_rate': 0.03, 'num_leaves': 15, 'min_child_samples': 20}"
3,355,118,2021-10-22,2023-02-03,Baseline: train mean,-0.008684660296534252,2.5796101826121323,1.082511399486216,,
3,355,118,2021-10-22,2023-02-03,Baseline: train median,-0.042485299084067174,2.6224749236007203,0.9509122863061007,,
3,355,118,2021-10-22,2023-02-03,Ridge,0.028192909669296995,2.532015769256209,1.1485245000594346,0.16312600659559784,{'alpha': 1000.0}
3,355,118,2021-10-22,2023-02-03,RandomForest,0.05461254530149129,2.4973608079938594,1.093809823226577,0.14806496262129365,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 10}"
3,355,118,2021-10-22,2023-02-03,LightGBM,0.03537549477802315,2.52264140501138,1.0755095412636613,0.1740529327767613,"{'n_estimators': 200, 'learning_rate': 0.03, 'num_leaves': 15, 'min_child_samples': 20}"
4,473,118,2023-02-03,2024-03-21,Baseline: train mean,-0.2637514896639723,0.8563935950230234,0.6511362748835646,,
4,473,118,2023-02-03,2024-03-21,Baseline: train median,-7.310276330940724e-06,0.7618055944928379,0.3789195253026906,,
4,473,118,2023-02-03,2024-03-21,Ridge,-1.0818559490928648,1.0991776982801478,0.9629497402680091,-0.08685107821063867,{'alpha': 1000.0}
4,473,118,2023-02-03,2024-03-21,RandomForest,-2.577402117833324,1.4408754777125934,1.0118154711074998,0.0024106022801220206,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 10}"
4,473,118,2023-02-03,2024-03-21,LightGBM,-2.382642175471929,1.4011047325270278,0.977689445888264,0.044146893575507364,"{'n_estimators': 200, 'learning_rate': 0.03, 'num_leaves': 15, 'min_child_samples': 20}"
5,591,118,2024-03-21,2024-12-31,Baseline: train mean,-0.7703997283239528,0.5684451368707362,0.4761985977442897,,
5,591,118,2024-03-21,2024-12-31,Baseline: train median,-0.0007204784502916617,0.4273751653405854,0.2326426568008064,,
5,591,118,2024-03-21,2024-12-31,Ridge,-1.0450717800818574,0.6109521060326427,0.5067616043612093,-0.18756791047791962,{'alpha': 1000.0}
5,591,118,2024-03-21,2024-12-31,RandomForest,-5.327009779997563,1.0746131263019472,0.5874463883976541,0.1643136678185826,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 10}"
5,591,118,2024-03-21,2024-12-31,LightGBM,-5.44179357704716,1.0843170587619897,0.6629852529973044,0.07842263576677576,"{'n_estimators': 200, 'learning_rate': 0.03, 'num_leaves': 31, 'min_child_samples': 20}"
