feature,mean_abs_shap
numeric__nasdaq_30d_volatility,0.2942863063122799
numeric__log_offer_price,0.26400369099455967
numeric__nasdaq_30d_return,0.21566195346569633
categorical__sector_Consumer Discretionary,0.18347169428831925
numeric__vix_at_pricing,0.11989884437880283
categorical__sector_Financials,0.07721982227406018
numeric__ipo_dayofweek,0.07074082331491036
categorical__sector_Technology,0.06708049684518029
numeric__log_prospectus_words,0.061036624148104866
numeric__ipo_month,0.05694873069114006
numeric__log_offer_size,0.051437844385792485
numeric__ipo_quarter,0.04835105798481233
numeric__rf_lm_litigious_ratio,0.03818586149984761
numeric__lm_positive_ratio,0.034137484904395846
numeric__lm_modal_strong_ratio,0.03408233597441856
numeric__lm_constraining_ratio,0.03217547958243208
numeric__lm_uncertainty_ratio,0.031150835631099258
numeric__ipo_year,0.030640853874779828
numeric__lm_litigious_ratio,0.03043342530346696
numeric__max_underwriter_rank,0.02929504823093577
numeric__lm_negative_ratio,0.026857201787232537
numeric__prospectus_uniqueness,0.026796523758349247
numeric__gunning_fog,0.02555852664035053
numeric__rf_lm_negative_ratio,0.025101403716353148
categorical__sector_Healthcare,0.024875360585521786
